ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,ADDRESSLINE1,CITY,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10107,30,95.7,2,2871.0,2018-02-24,828,Shipped,Motorcycles,S10_1678,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Small
10121,34,81.35,5,2765.9,2018-05-07,757,Shipped,Motorcycles,S10_1678,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot,Paul,Small
10134,41,94.74,2,3884.34,2018-07-01,703,Shipped,Motorcycles,S10_1678,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha,Daniel,Medium
10145,45,83.26,6,3746.7,2018-08-25,649,Shipped,Motorcycles,S10_1678,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,Young,Julie,Medium
10168,36,96.66,1,3479.76,2018-10-28,586,Shipped,Motorcycles,S10_1678,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano,Juri,Medium
10180,29,86.13,9,2497.77,2018-11-11,573,Shipped,Motorcycles,S10_1678,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France,Rance,Martine,Small
10188,48,114.84,1,5512.32,2018-11-18,567,Shipped,Motorcycles,S10_1678,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan,Veysel,Medium
10211,41,114.84,14,4708.44,2019-01-15,510,Shipped,Motorcycles,S10_1678,Auto Canal Petit,"25, rue Lauriston",Paris,France,Perrier,Dominique,Medium
10223,37,107.18,1,3965.66,2019-02-20,475,Shipped,Motorcycles,S10_1678,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Medium
10237,23,101.44,7,2333.12,2019-04-05,432,Shipped,Motorcycles,S10_1678,Vitachrome Inc.,2678 Kingston Rd.,NYC,USA,Frick,Michael,Small
10251,28,113.88,2,3188.64,2019-05-18,390,Shipped,Motorcycles,S10_1678,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA,Brown,William,Medium
10263,34,108.14,2,3676.76,2019-06-28,350,Shipped,Motorcycles,S10_1678,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA,King,Julie,Medium
10275,45,92.83,1,4177.35,2019-07-23,326,Shipped,Motorcycles,S10_1678,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium
10285,36,113.88,6,4099.68,2019-08-27,292,Shipped,Motorcycles,S10_1678,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,Hernandez,Marta,Medium
10299,23,112.93,9,2597.39,2019-09-30,259,Shipped,Motorcycles,S10_1678,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Finland,Karttunen,Matti,Small
10309,41,107.18,5,4394.38,2019-10-15,245,Shipped,Motorcycles,S10_1678,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen,Jonas,Medium
