ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,ADDRESSLINE1,CITY,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,PHONE
10106,34,90.39,2,3073.26,2018-02-17,1585,Shipped,Planes,S18_2581,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli,Giovanni,Medium,035-640555
10120,29,71.81,8,2082.49,2018-04-29,1515,Shipped,Planes,S18_2581,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Small,03 9520 4555
10133,49,69.27,3,3394.23,2018-06-27,1457,Shipped,Planes,S18_2581,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44
10145,30,85.32,14,2559.6,2018-08-25,1399,Shipped,Planes,S18_2581,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,Young,Julie,Small,6265557265
10168,21,70.96,9,1490.16,2018-10-28,1336,Shipped,Planes,S18_2581,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano,Juri,Small,6505556809
10210,50,76.88,7,3844.0,2019-01-12,1261,Shipped,Planes,S18_2581,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,Kentary,Mory,Medium,+81 06 6342 5555
10223,47,100.53,9,4724.91,2019-02-20,1223,Shipped,Planes,S18_2581,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Medium,03 9520 4555
10235,24,76.03,3,1824.72,2019-04-02,1183,Shipped,Planes,S18_2581,"Royal Canadian Collectables, Ltd.",23 Tsawassen Blvd.,Tsawassen,Canada,Lincoln,Elizabeth,Small,(604) 555-4555
10250,27,98.84,4,2668.68,2019-05-11,1145,Shipped,Planes,S18_2581,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick,Sue,Small,4085553659
10263,33,86.17,10,2843.61,2019-06-28,1098,Shipped,Planes,S18_2581,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA,King,Julie,Small,2035552570
10275,35,90.39,9,3163.65,2019-07-23,1074,Shipped,Planes,S18_2581,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium,40.67.8555
10284,31,71.81,1,2226.11,2019-08-21,1046,Shipped,Planes,S18_2581,"Norway Gifts By Mail, Co.","Drammensveien 126 A, PB 744 Sentrum",Oslo,Norway,Klaeboe,Jan,Small,+47 2212 1555
10297,25,82.79,4,2069.75,2019-09-16,1021,Shipped,Planes,S18_2581,"Clover Collections, Co.",25 Maiden Lane,Dublin,Ireland,Cassidy,Dean,Small,+353 1862 1555
10308,27,82.79,7,2235.33,2019-10-15,993,Shipped,Planes,S18_2581,Mini Classics,3758 North Pendale Street,White Plains,USA,Frick,Steve,Small,9145554562
10318,31,100.53,9,3116.43,2019-11-02,976,Shipped,Planes,S18_2581,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu,Kyung,Medium,2155551555
10327,45,106.26,8,4781.7,2019-11-10,969,Resolved,Planes,S18_2581,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,Denmark,Petersen,Jytte,Medium,31 12 3555
10339,27,104.1,2,2810.7,2019-11-23,957,Shipped,Planes,S18_2581,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Shimamura,Akiko,Small,+81 3 3584 0555
10353,27,130.21,1,3515.67,2019-12-04,947,Shipped,Planes,S18_2581,Gift Ideas Corp.,2440 Pompton St.,Glendale,USA,Lewis,Dan,Medium,2035554407
10374,42,69.27,2,2909.34,2020-02-02,888,Shipped,Planes,S18_2581,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Australia,Calaghan,Tony,Small,61-7-3844-6555
10386,21,74.77,18,1570.17,2020-03-01,861,Resolved,Planes,S18_2581,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44
10398,34,76.88,15,2613.92,2020-03-30,833,Shipped,Planes,S18_2581,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot,Paul,Small,26.47.1555
10401,42,76.03,3,3193.26,2020-04-03,830,On Hold,Planes,S18_2581,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA,Brown,William,Medium,2015559350
10416,15,98.84,4,1482.6,2020-05-10,794,Shipped,Planes,S18_2581,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,Italy,Moroni,Maurizio,Small,0522-556555
10107,29,70.87,6,2055.23,2018-02-24,1601,Shipped,Motorcycles,S18_2625,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Small,2125557818
10120,46,58.15,4,2674.9,2018-04-29,1538,Shipped,Motorcycles,S18_2625,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Small,03 9520 4555
10134,30,61.78,6,1853.4,2018-07-01,1476,Shipped,Motorcycles,S18_2625,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha,Daniel,Small,+33 1 46 62 7555
10145,30,49.67,10,1490.1,2018-08-25,1422,Shipped,Motorcycles,S18_2625,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,Young,Julie,Small,6265557265
10168,46,61.18,5,2814.28,2018-10-28,1359,Shipped,Motorcycles,S18_2625,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano,Juri,Small,6505556809
10180,25,64.2,13,1605.0,2018-11-11,1346,Shipped,Motorcycles,S18_2625,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France,Rance,Martine,Small,20.16.1555
10188,32,65.42,5,2093.44,2018-11-18,1340,Shipped,Motorcycles,S18_2625,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan,Veysel,Small,+47 2267 3215
10210,40,49.67,3,1986.8,2019-01-12,1286,Shipped,Motorcycles,S18_2625,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,Kentary,Mory,Small,+81 06 6342 5555
