ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,ADDRESSLINE1,CITY,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,PHONE,MSRP
10312,39,29.54,13,1152.06,2019-10-21,1724,Shipped,Vintage Cars,S24_1937,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450,33
10322,20,131.2,3,2624.0,2019-11-04,1711,Shipped,Vintage Cars,S24_1937,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young,Valarie,Small,6035558647,33
10332,45,81.91,6,3685.95,2019-11-17,1699,Shipped,Vintage Cars,S24_1937,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth,Victoria,Medium,(171) 555-1555,33
10344,20,35.18,6,703.6,2019-11-25,1692,Shipped,Vintage Cars,S24_1937,Marseille Mini Autos,"12, rue des Bouchers",Marseille,France,Lebihan,Laurence,Small,91.24.4555,33
10356,48,202.5,5,9720.0,2019-12-09,1679,Shipped,Vintage Cars,S24_1937,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha,Daniel,Large,+33 1 46 62 7555,33
10367,23,36.29,13,834.67,2020-01-12,1646,Resolved,Vintage Cars,S24_1937,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,Young,Julie,Small,6265557265,33
10380,32,70.56,4,2257.92,2020-02-16,1612,Shipped,Vintage Cars,S24_1937,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,33
10391,33,252.87,8,8344.71,2020-03-09,1591,Shipped,Vintage Cars,S24_1937,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara,Anna,Large,02 9936 8555,33
10409,61,29.54,1,1801.94,2020-04-23,1547,Shipped,Vintage Cars,S24_1937,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,Singapore,Victorino,Wendy,Small,+65 224 1555,33
10420,45,26.88,1,1209.6,2020-05-29,1512,In Process,Vintage Cars,S24_1937,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Small,+61 2 9495 8555,33
10107,38,83.03,7,3155.14,2018-02-24,2338,Shipped,Motorcycles,S24_2000,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Medium,2125557818,76
10120,34,83.79,5,2848.86,2018-04-29,2275,Shipped,Motorcycles,S24_2000,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Small,03 9520 4555,76
10134,43,83.03,7,3570.29,2018-07-01,2213,Shipped,Motorcycles,S24_2000,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha,Daniel,Medium,+33 1 46 62 7555,76
10145,47,83.03,11,3902.41,2018-08-25,2159,Shipped,Motorcycles,S24_2000,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,Young,Julie,Medium,6265557265,76
10158,22,67.03,1,1474.66,2018-10-10,2114,Shipped,Motorcycles,S24_2000,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen,Jonas,Small,07-98 9555,76
10168,29,75.41,6,2186.89,2018-10-28,2097,Shipped,Motorcycles,S24_2000,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano,Juri,Small,6505556809,76
10180,28,68.55,14,1919.4,2018-11-11,2084,Shipped,Motorcycles,S24_2000,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France,Rance,Martine,Small,20.16.1555,76
10188,40,91.4,6,3656.0,2018-11-18,2078,Shipped,Motorcycles,S24_2000,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan,Veysel,Medium,+47 2267 3215,76
10210,30,61.7,4,1851.0,2019-01-12,2024,Shipped,Motorcycles,S24_2000,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,Kentary,Mory,Small,+81 06 6342 5555,76
10223,38,69.31,6,2633.78,2019-02-20,1986,Shipped,Motorcycles,S24_2000,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Small,03 9520 4555,76
10236,36,87.6,3,3153.6,2019-04-03,1945,Shipped,Motorcycles,S24_2000,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,USA,Hernandez,Rosa,Medium,2155559857,76
10250,32,87.6,1,2803.2,2019-05-11,1908,Shipped,Motorcycles,S24_2000,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick,Sue,Small,4085553659,76
10263,37,62.46,7,2311.02,2019-06-28,1861,Shipped,Motorcycles,S24_2000,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA,King,Julie,Small,2035552570,76
10275,30,79.98,6,2399.4,2019-07-23,1837,Shipped,Motorcycles,S24_2000,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Small,40.67.8555,76
10285,39,70.08,11,2733.12,2019-08-27,1803,Shipped,Motorcycles,S24_2000,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,Hernandez,Marta,Small,6175558555,76
10297,32,65.51,1,2096.32,2019-09-16,1784,Shipped,Motorcycles,S24_2000,"Clover Collections, Co.",25 Maiden Lane,Dublin,Ireland,Cassidy,Dean,Small,+353 1862 1555,76
10308,47,63.22,4,2971.34,2019-10-15,1756,Shipped,Motorcycles,S24_2000,Mini Classics,3758 North Pendale Street,White Plains,USA,Frick,Steve,Small,9145554562,76
10318,26,86.83,6,2257.58,2019-11-02,1739,Shipped,Motorcycles,S24_2000,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu,Kyung,Small,2155551555,76
10329,37,94.43,4,3493.91,2019-11-15,1727,Shipped,Motorcycles,S24_2000,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Medium,2125557818,76
10340,55,79.98,8,4398.9,2019-11-24,1719,Shipped,Motorcycles,S24_2000,Enaco Distributors,"Rambla de Catalu¤a, 23",Barcelona,Spain,Saavedra,Eduardo,Medium,(93) 203 4555,76
10363,21,171.22,8,3595.62,2020-01-06,1677,Shipped,Motorcycles,S24_2000,Suominen Souveniers,"Software Engineering Center, SEC Oy",Espoo,Finland,Suominen,Kalle,Medium,+358 9 8045 555,76
10375,23,106.23,9,2443.29,2020-02-03,1650,Shipped,Motorcycles,S24_2000,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Small,40.67.8555,76
10389,49,81.4,2,3988.6,2020-03-03,1622,Shipped,Motorcycles,S24_2000,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson,Maria,Medium,0695-34 6555,76
10402,59,87.6,3,5168.4,2020-04-07,1588,Shipped,Motorcycles,S24_2000,Auto Canal Petit,"25, rue Lauriston",Paris,France,Perrier,Dominique,Medium,(1) 47.55.6555,76
10416,32,87.6,1,2803.2,2020-05-10,1556,Shipped,Motorcycles,S24_2000,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,Italy,Moroni,Maurizio,Small,0522-556555,76
10105,43,147.47,9,6341.21,2018-02-11,2376,Shipped,Ships,S24_2011,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,Denmark,Petersen,Jytte,Medium,31 12 3555,122
10117,41,126.58,3,5189.78,2018-04-16,2313,Shipped,Ships,S24_2011,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Medium,+65 221 7555,122
10129,45,133.95,9,6027.75,2018-06-12,2257,Shipped,Ships,S24_2011,"Stylish Desk Decors, Co.",35 King George,London,UK,Brown,Ann,Medium,(171) 555-0297,122
10142,33,102.0,6,3366.0,2018-08-08,2201,Shipped,Ships,S24_2011,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450,122
10153,40,136.41,5,5456.4,2018-09-28,2151,Shipped,Ships,S24_2011,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,122
10167,33,115.52,16,3812.16,2018-10-23,2127,Cancelled,Ships,S24_2011,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson,Maria,Medium,0695-34 6555,122
10177,50,121.66,7,6083.0,2018-11-07,2113,Shipped,Ships,S24_2011,CAF Imports,"Merchants House, 27-30 Merchant's Quay",Madrid,Spain,Fernandez,Jesus,Medium,+34 913 728 555,122
10185,30,105.69,7,3170.7,2018-11-14,2107,Shipped,Ships,S24_2011,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA,Tam,Wing C,Medium,5085559555,122
10197,41,110.6,13,4534.6,2018-11-26,2096,Shipped,Ships,S24_2011,Enaco Distributors,"Rambla de Catalu¤a, 23",Barcelona,Spain,Saavedra,Eduardo,Medium,(93) 203 4555,122
10208,35,122.89,7,4301.15,2019-01-02,2060,Shipped,Ships,S24_2011,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,Saveley,Mary,Medium,78.32.5555,122
10221,49,138.87,1,6804.63,2019-02-18,2014,Shipped,Ships,S24_2011,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Belgium,Dewey,Catherine,Medium,(02) 5554 67,122
