ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,ADDRESSLINE1,CITY,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,PHONE,MSRP,POSTALCODE
10361,49,72.33,2,3544.17,2019-12-17,2417,Shipped,Vintage Cars,S32_4289,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Medium,+61 2 9495 8555,68,2067
10375,44,82.26,4,3619.44,2020-02-03,2370,Shipped,Vintage Cars,S32_4289,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium,40.67.8555,68,44000
10388,35,111.97,8,3918.95,2020-03-03,2342,Shipped,Vintage Cars,S32_4289,FunGiftIdeas.com,1785 First Street,New Bedford,USA,Benitez,Violeta,Medium,5085552555,68,50553
10398,22,67.41,4,1483.02,2020-03-30,2316,Shipped,Vintage Cars,S32_4289,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot,Paul,Small,26.47.1555,68,51100
10401,62,77.73,6,4819.26,2020-04-03,2313,On Hold,Vintage Cars,S32_4289,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA,Brown,William,Medium,2015559350,68,94019
10416,26,61.22,7,1591.72,2020-05-10,2277,Shipped,Vintage Cars,S32_4289,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,Italy,Moroni,Maurizio,Small,0522-556555,68,42100
10108,31,118.38,16,3669.78,2018-03-03,3077,Shipped,Motorcycles,S32_4485,Cruz & Sons Co.,15 McCallum Street - NatWest Center #13-03,Makati City,Philippines,Cruz,Arnold,Medium,+63 2 555 3587,102,1227 MM
10121,25,86.74,3,2168.5,2018-05-07,3013,Shipped,Motorcycles,S32_4485,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot,Paul,Small,26.47.1555,102,51100
10135,30,89.8,17,2694.0,2018-07-02,2958,Shipped,Motorcycles,S32_4485,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450,102,97562
10145,27,120.42,4,3251.34,2018-08-25,2905,Shipped,Motorcycles,S32_4485,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,Young,Julie,Medium,6265557265,102,90003
10169,34,115.32,12,3920.88,2018-11-04,2835,Shipped,Motorcycles,S32_4485,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara,Anna,Medium,02 9936 8555,102,2060
10180,22,114.3,7,2514.6,2018-11-11,2829,Shipped,Motorcycles,S32_4485,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France,Rance,Martine,Small,20.16.1555,102,59000
10190,42,85.72,4,3600.24,2018-11-19,2822,Shipped,Motorcycles,S32_4485,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,102,28034
10211,37,109.19,12,4040.03,2019-01-15,2766,Shipped,Motorcycles,S32_4485,Auto Canal Petit,"25, rue Lauriston",Paris,France,Perrier,Dominique,Medium,(1) 47.55.6555,102,75016
10224,30,111.23,5,3336.9,2019-02-21,2730,Shipped,Motorcycles,S32_4485,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France,Rance,Martine,Medium,20.16.1555,102,59000
10237,27,115.32,5,3113.64,2019-04-05,2688,Shipped,Motorcycles,S32_4485,Vitachrome Inc.,2678 Kingston Rd.,NYC,USA,Frick,Michael,Medium,2125551500,102,10022
10252,25,113.28,9,2832.0,2019-05-26,2638,Shipped,Motorcycles,S32_4485,Auto Canal Petit,"25, rue Lauriston",Paris,France,Perrier,Dominique,Small,(1) 47.55.6555,102,75016
10264,34,97.97,7,3330.98,2019-06-30,2604,Shipped,Motorcycles,S32_4485,Gifts4AllAges.com,8616 Spinnaker Dr.,Boston,USA,Yoshido,Juri,Medium,6175559555,102,51003
10276,38,113.28,13,4304.64,2019-08-02,2572,Shipped,Motorcycles,S32_4485,Online Mini Collectables,7635 Spinnaker Dr.,Brickhaven,USA,Barajas,Miguel,Medium,6175557555,102,58339
10285,26,100.01,4,2600.26,2019-08-27,2548,Shipped,Motorcycles,S32_4485,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,Hernandez,Marta,Small,6175558555,102,51247
10299,38,115.32,7,4382.16,2019-09-30,2515,Shipped,Motorcycles,S32_4485,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Finland,Karttunen,Matti,Medium,90-224 8555,102,21240
10309,50,84.7,3,4235.0,2019-10-15,2501,Shipped,Motorcycles,S32_4485,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen,Jonas,Medium,07-98 9555,102,4110
10319,22,119.4,8,2626.8,2019-11-03,2483,Shipped,Motorcycles,S32_4485,Microscale Inc.,5290 North Pendale Street,NYC,USA,Kuo,Kee,Small,2125551957,102,10022
10331,32,157.08,4,5026.56,2019-11-17,2470,Shipped,Motorcycles,S32_4485,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,USA,Hernandez,Rosa,Medium,2155559857,102,71270
10341,31,71.02,4,2201.62,2019-11-24,2464,Shipped,Motorcycles,S32_4485,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps,Georg,Small,6562-9555,102,5020
10355,40,108.17,5,4326.8,2019-12-07,2452,Shipped,Motorcycles,S32_4485,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,102,28034
10365,22,155.69,3,3425.18,2020-01-07,2422,Shipped,Motorcycles,S32_4485,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA,Tam,Wing C,Medium,5085559555,102,50553
10375,41,114.68,15,4701.88,2020-02-03,2396,Shipped,Motorcycles,S32_4485,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium,40.67.8555,102,44000
10390,45,48.98,12,2204.1,2020-03-04,2367,Shipped,Motorcycles,S32_4485,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450,102,97562
10403,45,115.32,5,5189.4,2020-04-08,2333,Shipped,Motorcycles,S32_4485,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,UK,Devon,Elizabeth,Medium,(171) 555-2282,102,WX1 6LT
10106,39,40.15,6,1565.85,2018-02-17,3115,Shipped,Vintage Cars,S50_1341,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli,Giovanni,Small,035-640555,43,24100
10120,49,50.62,12,2480.38,2018-04-29,3045,Shipped,Vintage Cars,S50_1341,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Small,03 9520 4555,43,3004
10133,27,50.19,7,1355.13,2018-06-27,2987,Shipped,Vintage Cars,S50_1341,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,43,28034
10143,34,36.66,1,1246.44,2018-08-10,2944,Shipped,Vintage Cars,S50_1341,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA,Tam,Wing C,Small,5085559555,43,50553
10156,20,41.02,1,820.4,2018-10-08,2886,Shipped,Vintage Cars,S50_1341,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,43,28034
10168,48,51.93,13,2492.64,2018-10-28,2867,Shipped,Vintage Cars,S50_1341,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano,Juri,Small,6505556809,43,94217
10199,29,38.4,1,1113.6,2018-12-01,2834,Shipped,Vintage Cars,S50_1341,West Coast Collectables Co.,3675 Furth Circle,Burbank,USA,Thompson,Steve,Small,3105553722,43,94019
10210,43,41.02,11,1763.86,2019-01-12,2793,Shipped,Vintage Cars,S50_1341,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,Kentary,Mory,Small,+81 06 6342 5555,43,530-0003
10223,41,46.26,13,1896.66,2019-02-20,2755,Shipped,Vintage Cars,S50_1341,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Small,03 9520 4555,43,3004
10235,41,35.35,7,1449.35,2019-04-02,2715,Shipped,Vintage Cars,S50_1341,"Royal Canadian Collectables, Ltd.",23 Tsawassen Blvd.,Tsawassen,Canada,Lincoln,Elizabeth,Small,(604) 555-4555,43,T2F 8M4
10250,36,51.93,8,1869.48,2019-05-11,2677,Shipped,Vintage Cars,S50_1341,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick,Sue,Small,4085553659,43,94217
10262,49,37.97,3,1860.53,2019-06-24,2634,Cancelled,Vintage Cars,S50_1341,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,43,28034
10275,38,45.39,13,1724.82,2019-07-23,2606,Shipped,Vintage Cars,S50_1341,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Small,40.67.8555,43,44000
10284,33,51.93,5,1713.69,2019-08-21,2578,Shipped,Vintage Cars,S50_1341,"Norway Gifts By Mail, Co.","Drammensveien 126 A, PB 744 Sentrum",Oslo,Norway,Klaeboe,Jan,Small,+47 2212 1555,43,N 0106
10296,26,48.44,1,1259.44,2019-09-15,2554,Shipped,Vintage Cars,S50_1341,"Bavarian Collectables Imports, Co.",Hansastr. 15,Munich,Germany,Donnermeyer,Michael,Small,+49 89 61 08 9555,43,80686
10308,47,43.64,11,2051.08,2019-10-15,2525,Shipped,Vintage Cars,S50_1341,Mini Classics,3758 North Pendale Street,White Plains,USA,Frick,Steve,Small,9145554562,43,24067
10316,34,47.57,3,1617.38,2019-11-01,2509,Shipped,Vintage Cars,S50_1341,giftsbymail.co.uk,Garden House Crowther Way,Cowes,UK,Bennett,Helen,Small,(198) 555-8888,43,PO31 7PJ
10328,34,51.93,7,1765.62,2019-11-12,2499,Shipped,Vintage Cars,S50_1341,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli,Giovanni,Small,035-640555,43,24100
10340,40,50.62,4,2024.8,2019-11-24,2488,Shipped,Vintage Cars,S50_1341,Enaco Distributors,"Rambla de Catalu¤a, 23",Barcelona,Spain,Saavedra,Eduardo,Small,(93) 203 4555,43,8022
10353,40,82.21,8,3288.4,2019-12-04,2479,Shipped,Vintage Cars,S50_1341,Gift Ideas Corp.,2440 Pompton St.,Glendale,USA,Lewis,Dan,Medium,2035554407,43,97561
10361,33,82.59,3,2725.47,2019-12-17,2467,Shipped,Vintage Cars,S50_1341,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Small,+61 2 9495 8555,43,2067
10375,49,65.8,5,3224.2,2020-02-03,2420,Shipped,Vintage Cars,S50_1341,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium,40.67.8555,43,44000
10388,27,118.94,1,3211.38,2020-03-03,2392,Shipped,Vintage Cars,S50_1341,FunGiftIdeas.com,1785 First Street,New Bedford,USA,Benitez,Violeta,Medium,5085552555,43,50553
10398,49,36.66,5,1796.34,2020-03-30,2366,Shipped,Vintage Cars,S50_1341,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot,Paul,Small,26.47.1555,43,51100
10401,56,35.35,7,1979.6,2020-04-03,2363,On Hold,Vintage Cars,S50_1341,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA,Brown,William,Small,2015559350,43,94019
10416,37,51.93,8,1921.41,2020-05-10,2327,Shipped,Vintage Cars,S50_1341,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,Italy,Moroni,Maurizio,Small,0522-556555,43,42100
10104,33,112.28,7,3705.24,2018-01-31,3158,Shipped,Trucks and Buses,S50_1392,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,115,28034
10115,27,105.33,3,2843.91,2018-04-04,3096,Shipped,Trucks and Buses,S50_1392,Classic Legends Inc.,5905 Pompton St.,NYC,USA,Hernandez,Maria,Small,2125558493,115,10022
10127,46,134.27,9,6176.42,2018-06-03,3037,Shipped,Trucks and Buses,S50_1392,Muscle Machine Inc,4092 Furth Circle,NYC,USA,Young,Jeff,Medium,2125557413,115,10022
10141,44,125.01,3,5500.44,2018-08-01,2979,Shipped,Trucks and Buses,S50_1392,Suominen Souveniers,"Software Engineering Center, SEC Oy",Espoo,Finland,Suominen,Kalle,Medium,+358 9 8045 555,115,FIN-02271
10151,26,123.85,1,3220.1,2018-09-21,2929,Shipped,Trucks and Buses,S50_1392,"Oulu Toy Supplies, Inc.",Torikatu 38,Oulu,Finland,Koskitalo,Pirkko,Medium,981-443655,115,90110
10165,48,94.92,10,4556.16,2018-10-22,2899,Shipped,Trucks and Buses,S50_1392,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Medium,+65 221 7555,115,79903
10176,23,135.43,9,3114.89,2018-11-06,2885,Shipped,Trucks and Buses,S50_1392,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,Italy,Moroni,Maurizio,Medium,0522-556555,115,42100
10184,45,109.96,4,4948.2,2018-11-14,2878,Shipped,Trucks and Buses,S50_1392,"Iberia Gift Imports, Corp.","C/ Romero, 33",Sevilla,Spain,Roel,Jose Pedro,Medium,(95) 555 82 82,115,41101
10195,49,105.33,4,5161.17,2018-11-25,2868,Shipped,Trucks and Buses,S50_1392,Mini Classics,3758 North Pendale Street,White Plains,USA,Frick,Steve,Medium,9145554562,115,24067
10207,28,94.92,5,2657.76,2018-12-09,2855,Shipped,Trucks and Buses,S50_1392,Diecast Collectables,6251 Ingle Ln.,Boston,USA,Franco,Valarie,Small,6175552555,115,51003
10220,37,107.65,9,3983.05,2019-02-12,2791,Shipped,Trucks and Buses,S50_1392,"Clover Collections, Co.",25 Maiden Lane,Dublin,Ireland,Cassidy,Dean,Medium,+353 1862 1555,115,2
